region,year,percentage,source
Djibouti,2000,0.1945,International Telecommunication Union (ITU)
Djibouti,2005,0.9536,International Telecommunication Union (ITU)
Djibouti,2010,6.5,International Telecommunication Union (ITU)
Djibouti,2015,11.9224,International Telecommunication Union (ITU)
Djibouti,2016,13.1349,International Telecommunication Union (ITU)
Djibouti,2017,55.6814,International Telecommunication Union (ITU)
Dominica,2000,8.8148,International Telecommunication Union (ITU)
Dominica,2005,38.5436,International Telecommunication Union (ITU)
Dominica,2010,47.45,International Telecommunication Union (ITU)
Dominica,2015,65,International Telecommunication Union (ITU)
Dominica,2016,67.03,International Telecommunication Union (ITU)
Dominica,2017,69.6197,International Telecommunication Union (ITU)
Dominican Republic,2000,3.7047,International Telecommunication Union (ITU)
Dominican Republic,2005,11.4832,International Telecommunication Union (ITU)
Dominican Republic,2010,31.4,International Telecommunication Union (ITU)
Dominican Republic,2015,54.2158,International Telecommunication Union (ITU)
Dominican Republic,2016,63.8709,International Telecommunication Union (ITU)
Dominican Republic,2017,67.5712,International Telecommunication Union (ITU)
Dominican Republic,2018,74.8243,International Telecommunication Union (ITU)
Ecuador,2000,1.4622,International Telecommunication Union (ITU)
Ecuador,2005,5.9943,International Telecommunication Union (ITU)
Ecuador,2010,29.03,International Telecommunication Union (ITU)
Ecuador,2015,48.9404,International Telecommunication Union (ITU)
Ecuador,2016,54.0629,International Telecommunication Union (ITU)
Ecuador,2017,57.2722,International Telecommunication Union (ITU)
Egypt,2000,0.6413,International Telecommunication Union (ITU)
Egypt,2005,12.75,International Telecommunication Union (ITU)
Egypt,2010,21.6,International Telecommunication Union (ITU)
Egypt,2015,37.8194,International Telecommunication Union (ITU)
Egypt,2016,41.2481,International Telecommunication Union (ITU)
Egypt,2017,44.9502,International Telecommunication Union (ITU)
Egypt,2018,46.9243,International Telecommunication Union (ITU)
El Salvador,2000,1.1774,International Telecommunication Union (ITU)
El Salvador,2005,4.2,International Telecommunication Union (ITU)
El Salvador,2010,15.9,International Telecommunication Union (ITU)
El Salvador,2015,26.8026,International Telecommunication Union (ITU)
El Salvador,2016,28.9971,International Telecommunication Union (ITU)
El Salvador,2017,33.8207,International Telecommunication Union (ITU)
Equatorial Guinea,2000,0.1324,International Telecommunication Union (ITU)
Equatorial Guinea,2005,1.1498,International Telecommunication Union (ITU)
Equatorial Guinea,2010,6,International Telecommunication Union (ITU)
Equatorial Guinea,2015,21.32,International Telecommunication Union (ITU)
Equatorial Guinea,2016,23.78,International Telecommunication Union (ITU)
Equatorial Guinea,2017,26.24,International Telecommunication Union (ITU)
Eritrea,2000,0.1367,International Telecommunication Union (ITU)
Eritrea,2010,0.61,International Telecommunication Union (ITU)
Eritrea,2015,1.0837,International Telecommunication Union (ITU)
Eritrea,2016,1.1771,International Telecommunication Union (ITU)
Eritrea,2017,1.3089,International Telecommunication Union (ITU)
Estonia,2000,28.577,International Telecommunication Union (ITU)
Estonia,2005,61.45,International Telecommunication Union (ITU)
Estonia,2010,74.1,International Telecommunication Union (ITU)
Estonia,2015,88.4097,International Telecommunication Union (ITU)
Estonia,2016,87.2402,International Telecommunication Union (ITU)
Estonia,2017,88.1025,International Telecommunication Union (ITU)
Estonia,2018,89.357,International Telecommunication Union (ITU)
Eswatini,2000,0.9262,International Telecommunication Union (ITU)
Eswatini,2005,3.697,International Telecommunication Union (ITU)
Eswatini,2010,11.04,International Telecommunication Union (ITU)
Eswatini,2015,25.643,International Telecommunication Union (ITU)
Eswatini,2016,28.5735,International Telecommunication Union (ITU)
Eswatini,2017,47,International Telecommunication Union (ITU)
Ethiopia,2000,0.0153,International Telecommunication Union (ITU)
Ethiopia,2005,0.2197,International Telecommunication Union (ITU)
Ethiopia,2010,0.75,International Telecommunication Union (ITU)
Ethiopia,2015,13.8552,International Telecommunication Union (ITU)
Ethiopia,2016,15.3669,International Telecommunication Union (ITU)
Ethiopia,2017,18.6181,International Telecommunication Union (ITU)
Falkland Islands (Malvinas),2000,58.6207,International Telecommunication Union (ITU)
Falkland Islands (Malvinas),2005,84.0054,International Telecommunication Union (ITU)
Falkland Islands (Malvinas),2010,95.84,International Telecommunication Union (ITU)
Falkland Islands (Malvinas),2015,98.3051,International Telecommunication Union (ITU)
Falkland Islands (Malvinas),2016,99.0152,International Telecommunication Union (ITU)
Faroe Islands,2000,32.9164,International Telecommunication Union (ITU)
Faroe Islands,2005,67.9026,International Telecommunication Union (ITU)
Faroe Islands,2010,75.2,International Telecommunication Union (ITU)
Faroe Islands,2015,94.2,International Telecommunication Union (ITU)
Faroe Islands,2016,95.1087,International Telecommunication Union (ITU)
Faroe Islands,2017,97.582,International Telecommunication Union (ITU)
Fiji,2000,1.4969,International Telecommunication Union (ITU)
Fiji,2005,8.4536,International Telecommunication Union (ITU)
Fiji,2010,20,International Telecommunication Union (ITU)
Fiji,2015,42.5,International Telecommunication Union (ITU)
Fiji,2016,46.507,International Telecommunication Union (ITU)
Fiji,2017,49.9664,International Telecommunication Union (ITU)
Finland,2000,37.2485,International Telecommunication Union (ITU)
Finland,2005,74.48,International Telecommunication Union (ITU)
Finland,2010,86.89,International Telecommunication Union (ITU)
Finland,2015,86.4221,International Telecommunication Union (ITU)
Finland,2016,87.7036,International Telecommunication Union (ITU)
Finland,2017,87.4689,International Telecommunication Union (ITU)
Finland,2018,88.89,International Telecommunication Union (ITU)
France,2000,14.3079,International Telecommunication Union (ITU)
France,2005,42.87,International Telecommunication Union (ITU)
France,2010,77.28,International Telecommunication Union (ITU)
France,2015,78.01,International Telecommunication Union (ITU)
France,2016,79.2698,International Telecommunication Union (ITU)
France,2017,80.5025,International Telecommunication Union (ITU)
France,2018,82.0432,International Telecommunication Union (ITU)
French Polynesia,2000,6.3571,International Telecommunication Union (ITU)
French Polynesia,2005,21.5422,International Telecommunication Union (ITU)
French Polynesia,2010,49,International Telecommunication Union (ITU)
French Polynesia,2015,64.5602,International Telecommunication Union (ITU)
French Polynesia,2016,68.4404,International Telecommunication Union (ITU)
French Polynesia,2017,72.7039,International Telecommunication Union (ITU)
Gabon,2000,1.2161,International Telecommunication Union (ITU)
Gabon,2005,4.8933,International Telecommunication Union (ITU)
Gabon,2010,13,International Telecommunication Union (ITU)
Gabon,2015,45.7845,International Telecommunication Union (ITU)
Gabon,2016,48.0523,International Telecommunication Union (ITU)
Gabon,2017,62,International Telecommunication Union (ITU)
Gambia,2000,0.9218,International Telecommunication Union (ITU)
Gambia,2005,3.799,International Telecommunication Union (ITU)
Gambia,2010,9.2,International Telecommunication Union (ITU)
Gambia,2015,16.5,International Telecommunication Union (ITU)
Gambia,2016,18.5,International Telecommunication Union (ITU)
Gambia,2017,19.8365,International Telecommunication Union (ITU)
Georgia,2000,0.4847,International Telecommunication Union (ITU)
Georgia,2005,6.0795,International Telecommunication Union (ITU)
Georgia,2010,26.9,International Telecommunication Union (ITU)
Georgia,2015,47.5698,International Telecommunication Union (ITU)
Georgia,2016,58.4593,International Telecommunication Union (ITU)
Georgia,2017,59.7055,International Telecommunication Union (ITU)
Georgia,2018,62.7179,International Telecommunication Union (ITU)
Germany,2000,30.2163,International Telecommunication Union (ITU)
Germany,2005,68.71,International Telecommunication Union (ITU)
Germany,2010,82,International Telecommunication Union (ITU)
Germany,2015,87.5898,International Telecommunication Union (ITU)
Germany,2016,84.1652,International Telecommunication Union (ITU)
Germany,2017,84.3955,International Telecommunication Union (ITU)
Germany,2018,89.7391,International Telecommunication Union (ITU)
Ghana,2000,0.1536,International Telecommunication Union (ITU)
Ghana,2005,1.8312,International Telecommunication Union (ITU)
Ghana,2010,7.8,International Telecommunication Union (ITU)
Ghana,2015,25,International Telecommunication Union (ITU)
Ghana,2016,34.666,International Telecommunication Union (ITU)
Ghana,2017,39,International Telecommunication Union (ITU)
Gibraltar,2000,19.1316,International Telecommunication Union (ITU)
Gibraltar,2005,39.0701,International Telecommunication Union (ITU)
Gibraltar,2010,65,International Telecommunication Union (ITU)
Gibraltar,2016,94.4445,International Telecommunication Union (ITU)
Greece,2000,9.1388,International Telecommunication Union (ITU)
Greece,2005,24,International Telecommunication Union (ITU)
Greece,2010,44.4,International Telecommunication Union (ITU)
Greece,2015,66.835,International Telecommunication Union (ITU)
Greece,2016,69.0879,International Telecommunication Union (ITU)
Greece,2017,70.5494,International Telecommunication Union (ITU)
Greece,2018,72.9521,International Telecommunication Union (ITU)
Greenland,2000,31.7478,International Telecommunication Union (ITU)
Greenland,2005,57.7034,International Telecommunication Union (ITU)
Greenland,2010,63,International Telecommunication Union (ITU)
Greenland,2015,67.6004,International Telecommunication Union (ITU)
Greenland,2016,68.5009,International Telecommunication Union (ITU)
Greenland,2017,69.4825,International Telecommunication Union (ITU)
Grenada,2000,4.0639,International Telecommunication Union (ITU)
Grenada,2005,20.4878,International Telecommunication Union (ITU)
Grenada,2010,27,International Telecommunication Union (ITU)
Grenada,2015,53.81,International Telecommunication Union (ITU)
Grenada,2016,55.8564,International Telecommunication Union (ITU)
Grenada,2017,59.0717,International Telecommunication Union (ITU)
Guam,2000,16.1131,International Telecommunication Union (ITU)
Guam,2005,38.5599,International Telecommunication Union (ITU)
Guam,2010,54.04,International Telecommunication Union (ITU)
Guam,2015,73.14,International Telecommunication Union (ITU)
Guam,2016,77.01,International Telecommunication Union (ITU)
Guam,2017,80.5055,International Telecommunication Union (ITU)
Guatemala,2000,0.7123,International Telecommunication Union (ITU)
Guatemala,2005,5.7,International Telecommunication Union (ITU)
Guatemala,2010,10.5,International Telecommunication Union (ITU)
Guatemala,2015,28.8059,International Telecommunication Union (ITU)
Guatemala,2016,34.5093,International Telecommunication Union (ITU)
Guatemala,2017,65,International Telecommunication Union (ITU)
Guernsey,2000,31.8979,International Telecommunication Union (ITU)
Guernsey,2005,73.571,International Telecommunication Union (ITU)
Guinea,2000,0.0954,International Telecommunication Union (ITU)
Guinea,2005,0.5423,International Telecommunication Union (ITU)
Guinea,2010,1,International Telecommunication Union (ITU)
Guinea,2015,8.2,International Telecommunication Union (ITU)
Guinea,2016,9.8,International Telecommunication Union (ITU)
Guinea,2017,18,International Telecommunication Union (ITU)
Guinea-Bissau,2000,0.2301,International Telecommunication Union (ITU)
Guinea-Bissau,2005,1.9014,International Telecommunication Union (ITU)
Guinea-Bissau,2010,2.45,International Telecommunication Union (ITU)
Guinea-Bissau,2015,3.5407,International Telecommunication Union (ITU)
Guinea-Bissau,2016,3.7614,International Telecommunication Union (ITU)
Guinea-Bissau,2017,3.9305,International Telecommunication Union (ITU)
Guyana,2000,6.6115,International Telecommunication Union (ITU)
Guyana,2010,29.9,International Telecommunication Union (ITU)
Guyana,2015,34,International Telecommunication Union (ITU)
Guyana,2016,35.66,International Telecommunication Union (ITU)
Guyana,2017,37.3258,International Telecommunication Union (ITU)
Haiti,2000,0.2313,International Telecommunication Union (ITU)
Haiti,2005,6.3762,International Telecommunication Union (ITU)
Haiti,2010,8.37,International Telecommunication Union (ITU)
Haiti,2015,12.1977,International Telecommunication Union (ITU)
Haiti,2016,12.2326,International Telecommunication Union (ITU)
Haiti,2017,12.3261,International Telecommunication Union (ITU)
Haiti,2018,32.4736,International Telecommunication Union (ITU)
Honduras,2000,1.2039,International Telecommunication Union (ITU)
Honduras,2005,6.5,International Telecommunication Union (ITU)
Honduras,2010,11.09,International Telecommunication Union (ITU)
Honduras,2015,27.1,International Telecommunication Union (ITU)
Honduras,2016,29.5,International Telecommunication Union (ITU)
Honduras,2017,31.7,International Telecommunication Union (ITU)
Hungary,2000,6.9997,International Telecommunication Union (ITU)
Hungary,2005,38.97,International Telecommunication Union (ITU)
Hungary,2010,65,International Telecommunication Union (ITU)
Hungary,2015,72.8347,International Telecommunication Union (ITU)
Hungary,2016,79.2594,International Telecommunication Union (ITU)
Hungary,2017,76.7505,International Telecommunication Union (ITU)
Hungary,2018,76.0744,International Telecommunication Union (ITU)
Iceland,2000,44.4705,International Telecommunication Union (ITU)
Iceland,2005,87,International Telecommunication Union (ITU)
Iceland,2010,93.39,International Telecommunication Union (ITU)
Iceland,2015,98.2,International Telecommunication Union (ITU)
Iceland,2016,98.24,International Telecommunication Union (ITU)
Iceland,2017,98.26,International Telecommunication Union (ITU)
Iceland,2018,99.011,International Telecommunication Union (ITU)
India,2000,0.5275,International Telecommunication Union (ITU)
India,2005,2.3881,International Telecommunication Union (ITU)
India,2010,7.5,International Telecommunication Union (ITU)
India,2015,17,International Telecommunication Union (ITU)
India,2016,22,International Telecommunication Union (ITU)
India,2017,34.45,International Telecommunication Union (ITU)
Indonesia,2000,0.9256,International Telecommunication Union (ITU)
Indonesia,2005,3.602,International Telecommunication Union (ITU)
Indonesia,2010,10.92,International Telecommunication Union (ITU)
Indonesia,2015,21.9761,International Telecommunication Union (ITU)
Indonesia,2016,25.4474,International Telecommunication Union (ITU)
Indonesia,2017,32.2924,International Telecommunication Union (ITU)
Indonesia,2018,39.9046,International Telecommunication Union (ITU)
Iran (Islamic Republic of),2000,0.9342,International Telecommunication Union (ITU)
Iran (Islamic Republic of),2005,8.1,International Telecommunication Union (ITU)
Iran (Islamic Republic of),2010,15.9,International Telecommunication Union (ITU)
Iran (Islamic Republic of),2015,45.335,International Telecommunication Union (ITU)
Iran (Islamic Republic of),2016,53.2268,International Telecommunication Union (ITU)
Iran (Islamic Republic of),2017,64.044,International Telecommunication Union (ITU)
Iran (Islamic Republic of),2018,70.0046,International Telecommunication Union (ITU)
Iraq,2005,0.9,International Telecommunication Union (ITU)
Iraq,2010,2.5,International Telecommunication Union (ITU)
Iraq,2015,58,International Telecommunication Union (ITU)
Iraq,2016,21.23,International Telecommunication Union (ITU)
Iraq,2017,49.36,International Telecommunication Union (ITU)
Iraq,2018,75,International Telecommunication Union (ITU)
Ireland,2000,17.8505,International Telecommunication Union (ITU)
Ireland,2005,41.61,International Telecommunication Union (ITU)
Ireland,2010,69.85,International Telecommunication Union (ITU)
Ireland,2015,83.4948,International Telecommunication Union (ITU)
Ireland,2016,85.0111,International Telecommunication Union (ITU)
Ireland,2017,84.114,International Telecommunication Union (ITU)
Ireland,2018,84.5223,International Telecommunication Union (ITU)
Israel,2000,20.8738,International Telecommunication Union (ITU)
Israel,2005,25.194,International Telecommunication Union (ITU)
Israel,2010,67.5,International Telecommunication Union (ITU)
Israel,2015,77.3521,International Telecommunication Union (ITU)
Israel,2016,79.6531,International Telecommunication Union (ITU)
Israel,2017,81.5812,International Telecommunication Union (ITU)
Israel,2018,83.7331,International Telecommunication Union (ITU)
Italy,2000,23.1109,International Telecommunication Union (ITU)
Italy,2005,35,International Telecommunication Union (ITU)
Italy,2010,53.68,International Telecommunication Union (ITU)
Italy,2015,58.1417,International Telecommunication Union (ITU)
Italy,2016,61.3243,International Telecommunication Union (ITU)
Italy,2017,63.0773,International Telecommunication Union (ITU)
Italy,2018,74.3872,International Telecommunication Union (ITU)
Jamaica,2000,3.1158,International Telecommunication Union (ITU)
Jamaica,2005,12.8,International Telecommunication Union (ITU)
Jamaica,2010,27.67,International Telecommunication Union (ITU)
Jamaica,2015,42.2212,International Telecommunication Union (ITU)
Jamaica,2016,44.3669,International Telecommunication Union (ITU)
Jamaica,2017,55.0721,International Telecommunication Union (ITU)
Japan,2000,29.9907,International Telecommunication Union (ITU)
Japan,2005,66.9211,International Telecommunication Union (ITU)
Japan,2010,78.21,International Telecommunication Union (ITU)
Japan,2015,91.058,International Telecommunication Union (ITU)
Japan,2016,93.1827,International Telecommunication Union (ITU)
Japan,2017,84.5881,International Telecommunication Union (ITU)
Japan,2018,91.2816,International Telecommunication Union (ITU)
Jersey,2000,9.2187,International Telecommunication Union (ITU)
Jersey,2005,31.25,International Telecommunication Union (ITU)
Jordan,2000,2.6233,International Telecommunication Union (ITU)
Jordan,2005,12.9329,International Telecommunication Union (ITU)
Jordan,2010,27.2,International Telecommunication Union (ITU)
Jordan,2015,60.1144,International Telecommunication Union (ITU)
Jordan,2016,62.3022,International Telecommunication Union (ITU)
Jordan,2017,66.7903,International Telecommunication Union (ITU)
Kazakhstan,2000,0.6686,International Telecommunication Union (ITU)
Kazakhstan,2005,2.9617,International Telecommunication Union (ITU)
Kazakhstan,2010,31.6,International Telecommunication Union (ITU)
Kazakhstan,2015,70.8299,International Telecommunication Union (ITU)
Kazakhstan,2016,74.5877,International Telecommunication Union (ITU)
Kazakhstan,2017,76.4267,International Telecommunication Union (ITU)
Kazakhstan,2018,78.9039,International Telecommunication Union (ITU)
Kenya,2000,0.3181,International Telecommunication Union (ITU)
Kenya,2005,3.1019,International Telecommunication Union (ITU)
Kenya,2010,7.2,International Telecommunication Union (ITU)
Kenya,2015,16.5879,International Telecommunication Union (ITU)
Kenya,2016,16.6,International Telecommunication Union (ITU)
Kenya,2017,17.8271,International Telecommunication Union (ITU)
Kiribati,2000,1.7852,International Telecommunication Union (ITU)
Kiribati,2005,4,International Telecommunication Union (ITU)
Kiribati,2010,9.07,International Telecommunication Union (ITU)
Kiribati,2015,12.9975,International Telecommunication Union (ITU)
Kiribati,2016,13.7,International Telecommunication Union (ITU)
Kiribati,2017,14.5818,International Telecommunication Union (ITU)
Kuwait,2000,6.7314,International Telecommunication Union (ITU)
Kuwait,2005,25.9261,International Telecommunication Union (ITU)
Kuwait,2010,61.4,International Telecommunication Union (ITU)
Kuwait,2015,72,International Telecommunication Union (ITU)
Kuwait,2016,78.3674,International Telecommunication Union (ITU)
Kuwait,2017,100,International Telecommunication Union (ITU)
Kuwait,2018,99.5988,International Telecommunication Union (ITU)
Kyrgyzstan,2000,1.0414,International Telecommunication Union (ITU)
Kyrgyzstan,2005,10.5338,International Telecommunication Union (ITU)
Kyrgyzstan,2010,16.3,International Telecommunication Union (ITU)
Kyrgyzstan,2015,30.247,International Telecommunication Union (ITU)
Kyrgyzstan,2016,37,International Telecommunication Union (ITU)
Kyrgyzstan,2017,38,International Telecommunication Union (ITU)
Lao People's Dem. Rep.,2000,0.111,International Telecommunication Union (ITU)
Lao People's Dem. Rep.,2005,0.8504,International Telecommunication Union (ITU)
Lao People's Dem. Rep.,2010,7,International Telecommunication Union (ITU)
Lao People's Dem. Rep.,2015,18.2,International Telecommunication Union (ITU)
Lao People's Dem. Rep.,2016,21.87,International Telecommunication Union (ITU)
Lao People's Dem. Rep.,2017,25.5104,International Telecommunication Union (ITU)
Latvia,2000,6.3191,International Telecommunication Union (ITU)
Latvia,2005,46,International Telecommunication Union (ITU)
Latvia,2010,68.42,International Telecommunication Union (ITU)
Latvia,2015,79.2006,International Telecommunication Union (ITU)
Latvia,2016,79.8421,International Telecommunication Union (ITU)
Latvia,2017,80.1141,International Telecommunication Union (ITU)
Latvia,2018,83.5772,International Telecommunication Union (ITU)
Lebanon,2000,7.9527,International Telecommunication Union (ITU)
Lebanon,2005,10.14,International Telecommunication Union (ITU)
Lebanon,2010,43.68,International Telecommunication Union (ITU)
Lebanon,2015,74,International Telecommunication Union (ITU)
Lebanon,2016,76.11,International Telecommunication Union (ITU)
Lebanon,2017,78.1808,International Telecommunication Union (ITU)
Lesotho,2000,0.2118,International Telecommunication Union (ITU)
Lesotho,2005,2.5802,International Telecommunication Union (ITU)
Lesotho,2010,3.86,International Telecommunication Union (ITU)
Lesotho,2015,25,International Telecommunication Union (ITU)
Lesotho,2016,27.36,International Telecommunication Union (ITU)
Lesotho,2017,29,International Telecommunication Union (ITU)
Liberia,2000,0.0177,International Telecommunication Union (ITU)
Liberia,2010,2.3,International Telecommunication Union (ITU)
Liberia,2015,33,International Telecommunication Union (ITU)
Liberia,2016,7.3191,International Telecommunication Union (ITU)
Liberia,2017,7.9845,International Telecommunication Union (ITU)
Libya,2000,0.187,International Telecommunication Union (ITU)
Libya,2005,3.9178,International Telecommunication Union (ITU)
Libya,2010,14,International Telecommunication Union (ITU)
Libya,2015,19.0161,International Telecommunication Union (ITU)
Libya,2016,20.2722,International Telecommunication Union (ITU)
Libya,2017,21.7589,International Telecommunication Union (ITU)
Liechtenstein,2000,36.5152,International Telecommunication Union (ITU)
Liechtenstein,2005,63.3714,International Telecommunication Union (ITU)
Liechtenstein,2010,80,International Telecommunication Union (ITU)
Liechtenstein,2015,96.6412,International Telecommunication Union (ITU)
Liechtenstein,2016,98.0939,International Telecommunication Union (ITU)
Liechtenstein,2017,98.1,International Telecommunication Union (ITU)
Lithuania,2000,6.4271,International Telecommunication Union (ITU)
Lithuania,2005,36.22,International Telecommunication Union (ITU)
Lithuania,2010,62.12,International Telecommunication Union (ITU)
Lithuania,2015,71.378,International Telecommunication Union (ITU)
Lithuania,2016,74.3766,International Telecommunication Union (ITU)
Lithuania,2017,77.6153,International Telecommunication Union (ITU)
Lithuania,2018,79.7226,International Telecommunication Union (ITU)
Luxembourg,2000,22.8873,International Telecommunication Union (ITU)
Luxembourg,2005,70,International Telecommunication Union (ITU)
Luxembourg,2010,90.62,International Telecommunication Union (ITU)
Luxembourg,2015,96.38,International Telecommunication Union (ITU)
Luxembourg,2016,98.1367,International Telecommunication Union (ITU)
Luxembourg,2017,97.363,International Telecommunication Union (ITU)
Luxembourg,2018,97.0613,International Telecommunication Union (ITU)
Madagascar,2000,0.1964,International Telecommunication Union (ITU)
Madagascar,2005,0.5677,International Telecommunication Union (ITU)
Madagascar,2010,1.7,International Telecommunication Union (ITU)
Madagascar,2015,4.174,International Telecommunication Union (ITU)
Madagascar,2016,4.7137,International Telecommunication Union (ITU)
Madagascar,2017,9.8,International Telecommunication Union (ITU)
Malawi,2000,0.1268,International Telecommunication Union (ITU)
Malawi,2005,0.3845,International Telecommunication Union (ITU)
Malawi,2010,2.26,International Telecommunication Union (ITU)
Malawi,2015,5.3,International Telecommunication Union (ITU)
Malawi,2016,11.47,International Telecommunication Union (ITU)
Malawi,2017,13.7822,International Telecommunication Union (ITU)
Malaysia,2000,21.3847,International Telecommunication Union (ITU)
Malaysia,2005,48.6292,International Telecommunication Union (ITU)
Malaysia,2010,56.3,International Telecommunication Union (ITU)
Malaysia,2015,71.0641,International Telecommunication Union (ITU)
Malaysia,2016,78.7883,International Telecommunication Union (ITU)
Malaysia,2017,80.1405,International Telecommunication Union (ITU)
Malaysia,2018,81.201,International Telecommunication Union (ITU)
Maldives,2000,2.2039,International Telecommunication Union (ITU)
Maldives,2005,6.8696,International Telecommunication Union (ITU)
Maldives,2010,26.53,International Telecommunication Union (ITU)
Maldives,2015,54.462,International Telecommunication Union (ITU)
Maldives,2016,59.0926,International Telecommunication Union (ITU)
Maldives,2017,63.1857,International Telecommunication Union (ITU)
Mali,2000,0.1425,International Telecommunication Union (ITU)
Mali,2005,0.5071,International Telecommunication Union (ITU)
Mali,2010,2,International Telecommunication Union (ITU)
Mali,2015,10.33,International Telecommunication Union (ITU)
Mali,2016,11.1122,International Telecommunication Union (ITU)
Mali,2017,13,International Telecommunication Union (ITU)
Malta,2000,13.1137,International Telecommunication Union (ITU)
Malta,2005,41.24,International Telecommunication Union (ITU)
Malta,2010,63,International Telecommunication Union (ITU)
Malta,2015,75.96,International Telecommunication Union (ITU)
Malta,2016,78.0751,International Telecommunication Union (ITU)
Malta,2017,81.0119,International Telecommunication Union (ITU)
Malta,2018,81.658,International Telecommunication Union (ITU)
Marshall Islands,2000,1.5343,International Telecommunication Union (ITU)
Marshall Islands,2005,3.8787,International Telecommunication Union (ITU)
Marshall Islands,2010,7,International Telecommunication Union (ITU)
Marshall Islands,2015,19.2824,International Telecommunication Union (ITU)
Marshall Islands,2016,29.7878,International Telecommunication Union (ITU)
Marshall Islands,2017,38.7012,International Telecommunication Union (ITU)
Mauritania,2000,0.192,International Telecommunication Union (ITU)
Mauritania,2005,0.67,International Telecommunication Union (ITU)
Mauritania,2010,4,International Telecommunication Union (ITU)
Mauritania,2015,15.1991,International Telecommunication Union (ITU)
Mauritania,2016,18,International Telecommunication Union (ITU)
Mauritania,2017,20.801,International Telecommunication Union (ITU)
Mauritius,2000,7.2815,International Telecommunication Union (ITU)
Mauritius,2005,15.1722,International Telecommunication Union (ITU)
Mauritius,2010,28.33,International Telecommunication Union (ITU)
Mauritius,2015,50.1393,International Telecommunication Union (ITU)
Mauritius,2016,52.1913,International Telecommunication Union (ITU)
Mauritius,2017,55.4032,International Telecommunication Union (ITU)
Mauritius,2018,58.5962,International Telecommunication Union (ITU)
Mayotte,2000,1.2115,International Telecommunication Union (ITU)
Mexico,2000,5.0814,International Telecommunication Union (ITU)
Mexico,2005,17.21,International Telecommunication Union (ITU)
Mexico,2010,31.05,International Telecommunication Union (ITU)
Mexico,2015,57.431,International Telecommunication Union (ITU)
Mexico,2016,59.5404,International Telecommunication Union (ITU)
Mexico,2017,63.8522,International Telecommunication Union (ITU)
Mexico,2018,65.7726,International Telecommunication Union (ITU)
Micronesia (Fed. States of),2000,3.7349,International Telecommunication Union (ITU)
Micronesia (Fed. States of),2005,11.8814,International Telecommunication Union (ITU)
Micronesia (Fed. States of),2010,20,International Telecommunication Union (ITU)
Micronesia (Fed. States of),2015,31.5011,International Telecommunication Union (ITU)
Micronesia (Fed. States of),2016,33.3522,International Telecommunication Union (ITU)
Micronesia (Fed. States of),2017,35.3041,International Telecommunication Union (ITU)
Monaco,2000,42.1849,International Telecommunication Union (ITU)
Monaco,2005,55.4648,International Telecommunication Union (ITU)
Monaco,2010,75,International Telecommunication Union (ITU)
Monaco,2015,93.3633,International Telecommunication Union (ITU)
Monaco,2016,95.2082,International Telecommunication Union (ITU)
Monaco,2017,97.053,International Telecommunication Union (ITU)
Mongolia,2000,1.2557,International Telecommunication Union (ITU)
Mongolia,2010,10.2,International Telecommunication Union (ITU)
Mongolia,2015,22.5,International Telecommunication Union (ITU)
Mongolia,2016,22.2658,International Telecommunication Union (ITU)
Mongolia,2017,23.7143,International Telecommunication Union (ITU)
Mongolia,2018,47.1609,International Telecommunication Union (ITU)
Montenegro,2005,27.1,International Telecommunication Union (ITU)
Montenegro,2010,37.5,International Telecommunication Union (ITU)
Montenegro,2015,68.1196,International Telecommunication Union (ITU)
Montenegro,2016,69.8816,International Telecommunication Union (ITU)
Montenegro,2017,71.2723,International Telecommunication Union (ITU)
Montenegro,2018,71.5171,International Telecommunication Union (ITU)
Montserrat,2010,35,International Telecommunication Union (ITU)
Morocco,2000,0.6938,International Telecommunication Union (ITU)
Morocco,2005,15.0844,International Telecommunication Union (ITU)
Morocco,2010,52,International Telecommunication Union (ITU)
Morocco,2015,57.08,International Telecommunication Union (ITU)
Morocco,2016,58.2712,International Telecommunication Union (ITU)
Morocco,2017,61.7622,International Telecommunication Union (ITU)
Morocco,2018,64.8039,International Telecommunication Union (ITU)
Mozambique,2000,0.1096,International Telecommunication Union (ITU)
Mozambique,2005,0.8544,International Telecommunication Union (ITU)
Mozambique,2010,4.17,International Telecommunication Union (ITU)
Mozambique,2015,16.9335,International Telecommunication Union (ITU)
Mozambique,2016,17.5212,International Telecommunication Union (ITU)
Mozambique,2017,10,International Telecommunication Union (ITU)
Myanmar,2005,0.0652,International Telecommunication Union (ITU)
Myanmar,2010,0.25,International Telecommunication Union (ITU)
Myanmar,2015,21.7258,International Telecommunication Union (ITU)
Myanmar,2016,25.0733,International Telecommunication Union (ITU)
Myanmar,2017,30.6782,International Telecommunication Union (ITU)
Namibia,2000,1.6447,International Telecommunication Union (ITU)
Namibia,2005,4.01,International Telecommunication Union (ITU)
Namibia,2010,11.6,International Telecommunication Union (ITU)
Namibia,2015,25.6879,International Telecommunication Union (ITU)
Namibia,2016,31.0333,International Telecommunication Union (ITU)
Namibia,2017,51,International Telecommunication Union (ITU)
Nauru,2017,57,International Telecommunication Union (ITU)
Nepal,2000,0.2047,International Telecommunication Union (ITU)
Nepal,2005,0.8266,International Telecommunication Union (ITU)
Nepal,2010,7.93,International Telecommunication Union (ITU)
Nepal,2015,17.5816,International Telecommunication Union (ITU)
Nepal,2016,19.6888,International Telecommunication Union (ITU)
