region,year,percentage,source
South-central Asia,2010,7.977,International Telecommunication Union (ITU)
South-central Asia,2015,18.4207,International Telecommunication Union (ITU)
South-central Asia,2016,22.5935,International Telecommunication Union (ITU)
South-central Asia,2017,32.2654,International Telecommunication Union (ITU)
South-central Asia,2018,34.1241,International Telecommunication Union (ITU)
South-eastern Asia,2000,2.3838,International Telecommunication Union (ITU)
South-eastern Asia,2005,8.6736,International Telecommunication Union (ITU)
South-eastern Asia,2010,18.8327,International Telecommunication Union (ITU)
South-eastern Asia,2015,31.9145,International Telecommunication Union (ITU)
South-eastern Asia,2016,39.913,International Telecommunication Union (ITU)
South-eastern Asia,2017,45.3487,International Telecommunication Union (ITU)
South-eastern Asia,2018,48.1953,International Telecommunication Union (ITU)
Southern Asia,2000,0.4562,International Telecommunication Union (ITU)
Southern Asia,2005,2.7991,International Telecommunication Union (ITU)
Southern Asia,2010,7.5936,International Telecommunication Union (ITU)
Southern Asia,2015,17.4736,International Telecommunication Union (ITU)
Southern Asia,2016,21.6581,International Telecommunication Union (ITU)
Southern Asia,2017,31.5611,International Telecommunication Union (ITU)
Southern Asia,2018,33.4701,International Telecommunication Union (ITU)
Western Asia,2000,3.6168,International Telecommunication Union (ITU)
Western Asia,2005,11.1098,International Telecommunication Union (ITU)
Western Asia,2010,32.6611,International Telecommunication Union (ITU)
Western Asia,2015,56.5372,International Telecommunication Union (ITU)
Western Asia,2016,54.4787,International Telecommunication Union (ITU)
Western Asia,2017,62.6295,International Telecommunication Union (ITU)
Western Asia,2018,67.6286,International Telecommunication Union (ITU)
Europe,2000,15.2377,International Telecommunication Union (ITU)
Europe,2005,39.7892,International Telecommunication Union (ITU)
Europe,2010,61.3115,International Telecommunication Union (ITU)
Europe,2015,74.2657,International Telecommunication Union (ITU)
Europe,2016,76.3263,International Telecommunication Union (ITU)
Europe,2017,78.4909,International Telecommunication Union (ITU)
Europe,2018,82.0171,International Telecommunication Union (ITU)
Oceania,2000,34.719,International Telecommunication Union (ITU)
Oceania,2005,46.8856,International Telecommunication Union (ITU)
Oceania,2010,57.3387,International Telecommunication Union (ITU)
Oceania,2015,65.7064,International Telecommunication Union (ITU)
Oceania,2016,67.3884,International Telecommunication Union (ITU)
Oceania,2017,68.1514,International Telecommunication Union (ITU)
Australia and New Zealand,2000,46.8614,International Telecommunication Union (ITU)
Australia and New Zealand,2005,62.9524,International Telecommunication Union (ITU)
Australia and New Zealand,2010,76.7348,International Telecommunication Union (ITU)
Australia and New Zealand,2015,85.1525,International Telecommunication Union (ITU)
Australia and New Zealand,2016,86.8509,International Telecommunication Union (ITU)
Australia and New Zealand,2017,87.23,International Telecommunication Union (ITU)
Australia and New Zealand,2018,86.922,International Telecommunication Union (ITU)
Afghanistan,2005,1.2241,International Telecommunication Union (ITU)
Afghanistan,2010,4,International Telecommunication Union (ITU)
Afghanistan,2015,8.26,International Telecommunication Union (ITU)
Afghanistan,2016,11.2,International Telecommunication Union (ITU)
Afghanistan,2017,13.5,International Telecommunication Union (ITU)
Albania,2000,0.1141,International Telecommunication Union (ITU)
Albania,2005,6.0439,International Telecommunication Union (ITU)
Albania,2010,45,International Telecommunication Union (ITU)
Albania,2015,63.2529,International Telecommunication Union (ITU)
Albania,2016,66.3634,International Telecommunication Union (ITU)
Albania,2017,71.847,International Telecommunication Union (ITU)
Algeria,2000,0.4917,International Telecommunication Union (ITU)
Algeria,2005,5.8439,International Telecommunication Union (ITU)
Algeria,2010,12.5,International Telecommunication Union (ITU)
Algeria,2015,38.2,International Telecommunication Union (ITU)
Algeria,2016,42.9455,International Telecommunication Union (ITU)
Algeria,2017,47.6911,International Telecommunication Union (ITU)
Algeria,2018,49.0385,International Telecommunication Union (ITU)
Andorra,2000,10.5388,International Telecommunication Union (ITU)
Andorra,2005,37.6058,International Telecommunication Union (ITU)
Andorra,2010,81,International Telecommunication Union (ITU)
Andorra,2015,96.91,International Telecommunication Union (ITU)
Andorra,2016,97.9306,International Telecommunication Union (ITU)
Andorra,2017,91.5675,International Telecommunication Union (ITU)
Angola,2000,0.105,International Telecommunication Union (ITU)
Angola,2005,1.1434,International Telecommunication Union (ITU)
Angola,2010,2.8,International Telecommunication Union (ITU)
Angola,2015,12.4,International Telecommunication Union (ITU)
Angola,2016,13,International Telecommunication Union (ITU)
Angola,2017,14.3391,International Telecommunication Union (ITU)
Anguilla,2000,22.4054,International Telecommunication Union (ITU)
Anguilla,2005,29,International Telecommunication Union (ITU)
Anguilla,2010,49.6,International Telecommunication Union (ITU)
Anguilla,2015,75.98,International Telecommunication Union (ITU)
Anguilla,2016,81.57,International Telecommunication Union (ITU)
Antigua and Barbuda,2000,6.4822,International Telecommunication Union (ITU)
Antigua and Barbuda,2005,27,International Telecommunication Union (ITU)
Antigua and Barbuda,2010,47,International Telecommunication Union (ITU)
Antigua and Barbuda,2015,70,International Telecommunication Union (ITU)
Antigua and Barbuda,2016,73,International Telecommunication Union (ITU)
Antigua and Barbuda,2017,76,International Telecommunication Union (ITU)
Argentina,2000,7.0387,International Telecommunication Union (ITU)
Argentina,2005,17.7206,International Telecommunication Union (ITU)
Argentina,2010,45,International Telecommunication Union (ITU)
Argentina,2015,68.0431,International Telecommunication Union (ITU)
Argentina,2016,70.969,International Telecommunication Union (ITU)
Argentina,2017,74.2949,International Telecommunication Union (ITU)
Armenia,2000,1.3005,International Telecommunication Union (ITU)
Armenia,2005,5.253,International Telecommunication Union (ITU)
Armenia,2010,25,International Telecommunication Union (ITU)
Armenia,2015,59.1024,International Telecommunication Union (ITU)
Armenia,2016,64.346,International Telecommunication Union (ITU)
Armenia,2017,64.7449,International Telecommunication Union (ITU)
Aruba,2000,15.4428,International Telecommunication Union (ITU)
Aruba,2005,25.4,International Telecommunication Union (ITU)
Aruba,2010,62,International Telecommunication Union (ITU)
Aruba,2015,88.6612,International Telecommunication Union (ITU)
Aruba,2016,93.5425,International Telecommunication Union (ITU)
Aruba,2017,97.17,International Telecommunication Union (ITU)
Australia,2000,46.7561,International Telecommunication Union (ITU)
Australia,2005,63,International Telecommunication Union (ITU)
Australia,2010,76,International Telecommunication Union (ITU)
Australia,2015,84.5605,International Telecommunication Union (ITU)
Australia,2016,86.54,International Telecommunication Union (ITU)
Australia,2017,86.545,International Telecommunication Union (ITU)
Austria,2000,33.7301,International Telecommunication Union (ITU)
Austria,2005,58,International Telecommunication Union (ITU)
Austria,2010,75.17,International Telecommunication Union (ITU)
Austria,2015,83.9401,International Telecommunication Union (ITU)
Austria,2016,84.3237,International Telecommunication Union (ITU)
Austria,2017,87.9356,International Telecommunication Union (ITU)
Austria,2018,87.4791,International Telecommunication Union (ITU)
Azerbaijan,2000,0.1478,International Telecommunication Union (ITU)
Azerbaijan,2005,8.0304,International Telecommunication Union (ITU)
Azerbaijan,2010,46,International Telecommunication Union (ITU)
Azerbaijan,2015,77,International Telecommunication Union (ITU)
Azerbaijan,2016,78.2,International Telecommunication Union (ITU)
Azerbaijan,2017,79,International Telecommunication Union (ITU)
Azerbaijan,2018,79.8,International Telecommunication Union (ITU)
Bahamas,2000,8,International Telecommunication Union (ITU)
Bahamas,2005,25,International Telecommunication Union (ITU)
Bahamas,2010,43,International Telecommunication Union (ITU)
Bahamas,2015,78,International Telecommunication Union (ITU)
Bahamas,2016,80,International Telecommunication Union (ITU)
Bahamas,2017,85,International Telecommunication Union (ITU)
Bahrain,2000,6.1537,International Telecommunication Union (ITU)
Bahrain,2005,21.3037,International Telecommunication Union (ITU)
Bahrain,2010,55,International Telecommunication Union (ITU)
Bahrain,2015,93.4783,International Telecommunication Union (ITU)
Bahrain,2016,98,International Telecommunication Union (ITU)
Bahrain,2017,95.8781,International Telecommunication Union (ITU)
Bahrain,2018,98.6447,International Telecommunication Union (ITU)
Bangladesh,2000,0.071,International Telecommunication Union (ITU)
Bangladesh,2005,0.2416,International Telecommunication Union (ITU)
Bangladesh,2010,3.7,International Telecommunication Union (ITU)
Bangladesh,2015,14.4,International Telecommunication Union (ITU)
Bangladesh,2016,18.02,International Telecommunication Union (ITU)
Bangladesh,2017,15,International Telecommunication Union (ITU)
Barbados,2000,3.9737,International Telecommunication Union (ITU)
Barbados,2005,52.5,International Telecommunication Union (ITU)
Barbados,2010,65.1,International Telecommunication Union (ITU)
Barbados,2015,76.11,International Telecommunication Union (ITU)
Barbados,2016,79.5494,International Telecommunication Union (ITU)
Barbados,2017,81.7608,International Telecommunication Union (ITU)
Belarus,2000,1.8604,International Telecommunication Union (ITU)
Belarus,2010,31.8,International Telecommunication Union (ITU)
Belarus,2015,62.2304,International Telecommunication Union (ITU)
Belarus,2016,71.113,International Telecommunication Union (ITU)
Belarus,2017,74.4364,International Telecommunication Union (ITU)
Belarus,2018,79.1299,International Telecommunication Union (ITU)
Belgium,2000,29.4317,International Telecommunication Union (ITU)
Belgium,2005,55.82,International Telecommunication Union (ITU)
Belgium,2010,75,International Telecommunication Union (ITU)
Belgium,2015,85.0529,International Telecommunication Union (ITU)
Belgium,2016,86.5165,International Telecommunication Union (ITU)
Belgium,2017,87.6797,International Telecommunication Union (ITU)
Belgium,2018,88.6551,International Telecommunication Union (ITU)
Belize,2000,5.9638,International Telecommunication Union (ITU)
Belize,2005,17,International Telecommunication Union (ITU)
Belize,2010,28.2,International Telecommunication Union (ITU)
Belize,2015,41.59,International Telecommunication Union (ITU)
Belize,2016,44.5757,International Telecommunication Union (ITU)
Belize,2017,47.0826,International Telecommunication Union (ITU)
Benin,2000,0.2252,International Telecommunication Union (ITU)
Benin,2005,1.271,International Telecommunication Union (ITU)
Benin,2010,3.13,International Telecommunication Union (ITU)
Benin,2015,11.255,International Telecommunication Union (ITU)
Benin,2016,11.994,International Telecommunication Union (ITU)
Benin,2017,20,International Telecommunication Union (ITU)
Bermuda,2000,42.9499,International Telecommunication Union (ITU)
Bermuda,2005,65.4471,International Telecommunication Union (ITU)
Bermuda,2010,84.21,International Telecommunication Union (ITU)
Bermuda,2015,98.3236,International Telecommunication Union (ITU)
Bermuda,2016,98,International Telecommunication Union (ITU)
Bermuda,2017,98.37,International Telecommunication Union (ITU)
Bhutan,2000,0.4009,International Telecommunication Union (ITU)
Bhutan,2005,3.8471,International Telecommunication Union (ITU)
Bhutan,2010,13.6,International Telecommunication Union (ITU)
Bhutan,2015,39.8,International Telecommunication Union (ITU)
Bhutan,2016,41.7726,International Telecommunication Union (ITU)
Bhutan,2017,48.1064,International Telecommunication Union (ITU)
Bolivia (Plurin. State of),2000,1.4428,International Telecommunication Union (ITU)
Bolivia (Plurin. State of),2005,5.2276,International Telecommunication Union (ITU)
Bolivia (Plurin. State of),2010,22.4,International Telecommunication Union (ITU)
Bolivia (Plurin. State of),2015,35.5623,International Telecommunication Union (ITU)
